epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3162.71,1.38341,0.87534,1.01822,0.88317,0.67735,0.7965,0.4353,1.41557,0.85686,1.04758,0.000911,0.000911,0.000911
57,3216.79,1.40373,0.86126,1.02268,0.89031,0.6895,0.80499,0.4408,1.39587,0.83431,1.05009,0.0008912,0.0008912,0.0008912
58,3273.55,1.37874,0.86403,1.01436,0.85981,0.698,0.80395,0.45142,1.39357,0.85191,1.04643,0.0008714,0.0008714,0.0008714
59,3330.86,1.38309,0.84387,1.00603,0.84022,0.70889,0.79503,0.45474,1.37744,0.81105,1.02959,0.0008516,0.0008516,0.0008516
60,3386.81,1.35141,0.84083,1.01009,0.89452,0.69503,0.81158,0.45598,1.37914,0.79561,1.04046,0.0008318,0.0008318,0.0008318
61,3443.32,1.36828,0.83267,1.01029,0.88913,0.70894,0.80575,0.45396,1.36573,0.80674,1.03064,0.000812,0.000812,0.000812
62,3498.96,1.35151,0.81423,1.00316,0.8686,0.71582,0.81798,0.46324,1.37369,0.79613,1.03862,0.0007922,0.0007922,0.0007922
63,3556.02,1.35625,0.82033,1.00425,0.89374,0.69702,0.81442,0.4592,1.36262,0.80143,1.04184,0.0007724,0.0007724,0.0007724
64,3609.91,1.33524,0.80561,0.99578,0.85804,0.72132,0.81626,0.46163,1.37647,0.78498,1.04071,0.0007526,0.0007526,0.0007526
65,3665.67,1.32084,0.79876,1.00391,0.86499,0.7326,0.82239,0.4691,1.35001,0.79126,1.03256,0.0007328,0.0007328,0.0007328
66,3723.3,1.33346,0.80482,1.00335,0.84913,0.72141,0.81041,0.46039,1.39332,0.78647,1.04216,0.000713,0.000713,0.000713
67,3777.27,1.31134,0.7879,0.99719,0.87773,0.69834,0.80704,0.46077,1.37215,0.79831,1.04354,0.0006932,0.0006932,0.0006932
68,3833.48,1.31895,0.79151,0.98673,0.85528,0.7337,0.81828,0.47025,1.34984,0.77718,1.03825,0.0006734,0.0006734,0.0006734
69,3891,1.30936,0.78871,0.99031,0.88892,0.71624,0.81612,0.46931,1.34639,0.78582,1.02885,0.0006536,0.0006536,0.0006536
70,3945.76,1.31078,0.78525,0.98894,0.86668,0.69678,0.80661,0.45701,1.3772,0.80396,1.03494,0.0006338,0.0006338,0.0006338
71,4000.74,1.28785,0.75796,0.98328,0.89292,0.70829,0.82258,0.4647,1.35177,0.77496,1.02894,0.000614,0.000614,0.000614
72,4056.44,1.27949,0.76178,0.97908,0.87888,0.73923,0.83151,0.47984,1.33631,0.76307,1.02945,0.0005942,0.0005942,0.0005942
73,4113.7,1.28472,0.76578,0.98057,0.87594,0.71492,0.81939,0.47242,1.34203,0.7675,1.02324,0.0005744,0.0005744,0.0005744
74,4168.14,1.28135,0.76819,0.98763,0.8619,0.74586,0.82561,0.47593,1.34151,0.74409,1.02874,0.0005546,0.0005546,0.0005546
75,4222.18,1.27739,0.75966,0.97685,0.89052,0.73704,0.83134,0.47687,1.33861,0.75394,1.02829,0.0005348,0.0005348,0.0005348
76,4277.42,1.25009,0.73572,0.97172,0.87478,0.74104,0.83525,0.48273,1.32424,0.73739,1.02321,0.000515,0.000515,0.000515
77,4334.67,1.24358,0.72369,0.96609,0.87969,0.72716,0.82811,0.47822,1.35449,0.74154,1.03048,0.0004952,0.0004952,0.0004952
78,4390.02,1.2445,0.72771,0.96865,0.90873,0.7041,0.82158,0.47913,1.34687,0.73161,1.02268,0.0004754,0.0004754,0.0004754
79,4444.2,1.24562,0.73525,0.96962,0.88732,0.72818,0.82887,0.47938,1.32752,0.72253,1.02502,0.0004556,0.0004556,0.0004556
